2026-06-27 16:08:08.826 | INFO     | __main__:_process_file:83 - Processing experimental-data/minus-docs/kilo/kilo.c
[mutation testing] 17/61 done (killed=11 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 18/61 done (killed=12 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 19/61 done (killed=12 survived=7 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 20/61 done (killed=13 survived=7 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 21/61 done (killed=13 survived=8 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 22/61 done (killed=14 survived=8 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 23/61 done (killed=14 survived=9 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 24/61 done (killed=15 survived=9 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 25/61 done (killed=15 survived=10 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 26/61 done (killed=15 survived=11 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 27/61 done (killed=15 survived=12 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 28/61 done (killed=16 survived=12 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 29/61 done (killed=16 survived=13 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 30/61 done (killed=17 survived=13 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 31/61 done (killed=18 survived=13 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 32/61 done (killed=19 survived=13 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 33/61 done (killed=19 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 34/61 done (killed=20 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 35/61 done (killed=20 survived=15 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 36/61 done (killed=21 survived=15 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 37/61 done (killed=22 survived=15 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 38/61 done (killed=23 survived=15 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 39/61 done (killed=24 survived=15 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 40/61 done (killed=24 survived=16 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 41/61 done (killed=25 survived=16 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 42/61 done (killed=26 survived=16 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 43/61 done (killed=26 survived=17 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 44/61 done (killed=26 survived=18 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 45/61 done (killed=27 survived=18 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 46/61 done (killed=28 survived=18 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 47/61 done (killed=29 survived=18 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 48/61 done (killed=30 survived=18 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 49/61 done (killed=31 survived=18 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 50/61 done (killed=32 survived=18 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 51/61 done (killed=32 survived=19 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 52/61 done (killed=33 survived=19 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 53/61 done (killed=34 survived=19 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 54/61 done (killed=34 survived=20 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 55/61 done (killed=34 survived=21 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 56/61 done (killed=35 survived=21 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 57/61 done (killed=36 survived=21 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 58/61 done (killed=37 survived=21 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 59/61 done (killed=38 survived=21 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 60/61 done (killed=39 survived=21 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 61/61 done (killed=39 survived=22 timed_out=0 compile_failed=0 instrumentation_failed=0)
Verified editorOpen; now running mutation testing on 9 mutants across up to 9 worker(s) (one CBMC run each, up to 10 min per mutant) -- this can take several minutes; do not interrupt.
[mutation testing] 1/9 done (killed=0 survived=1 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 2/9 done (killed=0 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 3/9 done (killed=0 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 4/9 done (killed=0 survived=4 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 5/9 done (killed=0 survived=5 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 6/9 done (killed=0 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 7/9 done (killed=0 survived=7 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 8/9 done (killed=0 survived=8 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 9/9 done (killed=0 survived=9 timed_out=0 compile_failed=0 instrumentation_failed=0)
Verified editorRefreshScreen; now running mutation testing on 95 mutants across up to 32 worker(s) (one CBMC run each, up to 10 min per mutant) -- this can take several minutes; do not interrupt.
[mutation testing] 1/95 done (killed=0 survived=1 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 2/95 done (killed=0 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 3/95 done (killed=0 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 4/95 done (killed=0 survived=4 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 5/95 done (killed=0 survived=5 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 6/95 done (killed=0 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 7/95 done (killed=0 survived=7 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 8/95 done (killed=0 survived=8 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 9/95 done (killed=0 survived=9 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 10/95 done (killed=0 survived=10 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 11/95 done (killed=0 survived=11 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 12/95 done (killed=0 survived=12 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 13/95 done (killed=0 survived=13 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 14/95 done (killed=0 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 15/95 done (killed=0 survived=15 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 16/95 done (killed=0 survived=16 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 17/95 done (killed=0 survived=17 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 18/95 done (killed=0 survived=18 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 19/95 done (killed=0 survived=19 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 20/95 done (killed=0 survived=20 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 21/95 done (killed=0 survived=21 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 22/95 done (killed=0 survived=22 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 23/95 done (killed=0 survived=23 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 24/95 done (killed=0 survived=24 timed_out=0 compile_failed=0 instrumentation_failed=0)
